,Actual,Pred,Diff
83,988.0,1137.404,-149.404052734375
105,599.0,715.66486,-116.66485595703125
42,1200.0,1815.4375,-615.4375
82,3400.0,2775.3916,624.6083984375
12,716.0,636.41797,79.58203125
170,750.0,571.39,178.6099853515625
104,998.0,1018.752,-20.75201416015625
16,280.0,271.23874,8.761260986328125
12,159.0,367.76816,-208.76815795898438
17,1499.0,1088.1539,410.8460693359375
73,2200.0,2947.7166,-747.716552734375
72,3222.0,1776.9144,1445.0855712890625
17,2300.0,1922.6942,377.3057861328125
61,260.0,238.24327,21.756729125976562
22,140.0,262.71317,-122.71316528320312
36,420.0,173.35239,246.64761352539062
97,700.0,549.6196,150.38037109375
10,2370.0,1716.8843,653.11572265625
63,1200.0,1405.6177,-205.61767578125
185,720.0,839.02234,-119.0223388671875
150,529.0,632.26447,-103.26446533203125
62,120.0,140.23991,-20.239913940429688
56,150.0,192.25691,-42.25691223144531
161,105.0,536.4579,-431.4578857421875
89,700.0,495.70645,204.29354858398438
3,2599.0,1188.1422,1410.8577880859375
39,700.0,430.59378,269.4062194824219
180,3040.0,2283.6448,756.355224609375
24,930.0,1724.7019,-794.701904296875
96,2888.0,2291.2932,596.706787109375
109,560.0,1112.9918,-552.9918212890625
11,410.0,718.3851,-308.38507080078125
74,498.0,230.75938,267.24061584472656
62,1500.0,3045.1104,-1545.1103515625
36,158.0,251.60475,-93.60475158691406
174,191.0,276.62683,-85.6268310546875
146,138.0,135.80254,2.1974639892578125
20,400.0,486.5703,-86.5703125
66,3000.0,4544.522,-1544.52197265625
64,1198.0,1691.9994,-493.9993896484375
75,100.0,165.7562,-65.75619506835938
112,166.0,203.69046,-37.690460205078125
15,1260.0,2948.5125,-1688.512451171875
103,650.0,1145.9153,-495.915283203125
103,100.0,412.1867,-312.18670654296875
65,780.0,685.56744,94.43255615234375
70,500.0,213.09581,286.90419006347656
97,330.0,456.98013,-126.98013305664062
172,2499.0,1903.6807,595.3193359375
45,3500.0,3806.9358,-306.935791015625
16,1150.0,906.6079,243.39208984375
145,850.0,890.88,-40.8800048828125
68,1899.0,1073.2211,825.7789306640625
0,1899.0,1611.812,287.18798828125
14,1000.0,973.9082,26.091796875
9,236.0,258.0856,-22.085601806640625
19,994.0,1485.3236,-491.3236083984375
102,760.0,1227.8499,-467.849853515625
55,600.0,470.42535,129.57464599609375
80,150.0,209.11877,-59.1187744140625
114,800.0,523.30396,276.696044921875
67,150.0,174.39948,-24.39947509765625
175,130.0,177.31485,-47.314849853515625
26,1500.0,769.8666,730.1334228515625
78,2900.0,2312.929,587.071044921875
54,650.0,841.16284,-191.162841796875
146,600.0,708.58655,-108.5865478515625
199,238.0,146.14162,91.85838317871094
127,260.0,179.514,80.48599243164062
85,15888.0,4660.951,11227.048828125
15,530.0,652.761,-122.760986328125
48,2999.0,973.12146,2025.8785400390625
17,1200.0,2095.1702,-895.170166015625
94,200.0,287.71817,-87.71817016601562
8,1440.0,1602.2153,-162.21533203125
55,1500.0,1584.3203,-84.3203125
50,700.0,1836.9877,-1136.9876708984375
113,1200.0,1262.1057,-62.105712890625
27,1500.0,678.8797,821.1203002929688
23,272.0,322.0129,-50.012908935546875
97,1000.0,1623.9167,-623.916748046875
5,489.0,509.1131,-20.11309814453125
99,150.0,242.10352,-92.103515625
58,230.0,393.39694,-163.39694213867188
64,4500.0,1169.7966,3330.203369140625
109,900.0,1081.9906,-181.9906005859375
57,300.0,247.434,52.56599426269531
2,1088.0,1032.3383,55.6617431640625
7,100.0,200.2258,-100.22579956054688
52,160.0,246.36612,-86.36611938476562
197,700.0,390.4649,309.53509521484375
52,300.0,268.45984,31.5401611328125
52,1599.0,1570.2448,28.7552490234375
92,2588.0,2987.4214,-399.42138671875
43,950.0,1549.2654,-599.265380859375
93,1088.0,1859.5518,-771.5517578125
9,285.0,492.8472,-207.84719848632812
18,418.0,292.86493,125.13507080078125
196,1450.0,2086.8457,-636.845703125
72,250.0,219.84212,30.157882690429688
26,888.0,310.579,577.4209899902344
32,3000.0,2598.4849,401.51513671875
108,238.0,234.14856,3.8514404296875
18,130.0,274.82318,-144.82318115234375
6,3500.0,3956.924,-456.924072265625
53,1399.0,1654.978,-255.97802734375
75,1100.0,1203.4739,-103.473876953125
5,460.0,442.20642,17.7935791015625
71,36000.0,13621.562,22378.4384765625
92,100.0,154.71153,-54.71153259277344
27,1000.0,681.696,318.30401611328125
52,200.0,213.8278,-13.827804565429688
6,1000.0,2050.3474,-1050.347412109375
90,1350.0,781.53455,568.4654541015625
66,650.0,455.55087,194.44912719726562
80,2499.0,2312.877,186.123046875
89,200.0,412.04587,-212.04586791992188
149,1988.0,1955.2468,32.753173828125
105,1520.0,1603.0121,-83.0120849609375
148,320.0,694.3574,-374.357421875
14,3100.0,1329.4812,1770.518798828125
1,320.0,261.0054,58.994598388671875
81,130.0,183.66415,-53.664154052734375
40,230.0,207.54704,22.452957153320312
48,120.0,390.09006,-270.0900573730469
69,999.0,1128.0958,-129.0958251953125
