游戏,账号特征,价格
原神,未绑定/未实名,350.0
原神,邮箱不出售/其他邮箱,130.0
原神,邮箱不出售/其他邮箱,400.0
原神,未绑定/未实名,85.0
原神,已实名,2000.0
原神,未绑定/未实名,666.0
原神,未绑定/未实名,3500.0
原神,邮箱不出售/其他邮箱,294.0
原神,邮箱不出售/其他邮箱,450.0
原神,已实名,820.0
原神,已实名,176.0
原神,未绑定/未实名,320.0
原神,未绑定/未实名,85.0
原神,未绑定/未实名,200.0
原神,错误数据,230.0
原神,未绑定/未实名,320.0
原神,未绑定/未实名,800.0
原神,未绑定/未实名,260.0
原神,未绑定/未实名,3000.0
原神,未绑定/未实名,2000.0
原神,未绑定/未实名,350.0
原神,未绑定/未实名,125.0
原神,未绑定/未实名,100.0
原神,邮箱不出售/其他邮箱,300.0
原神,未绑定/未实名,100.0
原神,错误数据,1260.0
原神,邮箱不出售/其他邮箱,1688.0
原神,未绑定/未实名,1700.0
原神,邮箱不出售/其他邮箱,1200.0
原神,未绑定/未实名,1450.0
原神,邮箱不出售/其他邮箱,3500.0
原神,邮箱不出售/其他邮箱,110.0
原神,邮箱不出售/其他邮箱,140.0
原神,未绑定/未实名,272.0
原神,未绑定/未实名,100.0
原神,错误数据,80.0
原神,邮箱不出售/其他邮箱,50.0
原神,未绑定/未实名,1500.0
原神,邮箱不出售/其他邮箱,243.0
原神,未绑定/未实名,4200.0
原神,未绑定/未实名,75.0
原神,未绑定/未实名,60.0
原神,未绑定/未实名,538.0
原神,未绑定/未实名,328.0
原神,未绑定/未实名,80.0
原神,已实名,1199.0
原神,邮箱不出售/其他邮箱,158.0
原神,邮箱不出售/其他邮箱,3000.0
原神,未绑定/未实名,450.0
原神,邮箱不出售/其他邮箱,176.0
原神,已实名,690.0
原神,邮箱不出售/其他邮箱,68.0
原神,未绑定/未实名,100.0
原神,未绑定/未实名,749.0
原神,邮箱不出售/其他邮箱,110.0
原神,未绑定/未实名,89.9
原神,未绑定/未实名,310.0
原神,未绑定/未实名,240.0
原神,邮箱不出售/其他邮箱,2999.0
原神,未绑定/未实名,299.0
原神,未绑定/未实名,100.0
原神,未绑定/未实名,1110.0
原神,已实名,2600.0
原神,邮箱不出售/其他邮箱,1399.0
原神,未绑定/未实名,240.0
原神,未绑定/未实名,300.0
原神,未绑定/未实名,600.0
